course_title_en,course_title_fr,course_code,offering_id,offering_status,month_en,month_fr,training_hours,stream_en,stream_fr,topic_en,topic_fr,offering_language,offering_region,reg_num,reg_status,no_show,student_id,learner_classif,billing_dept_code,billing_dept_name_en,billing_dept_name_fr,client
Service Excellence for Citizens (T178),Bon service (T178),T178,19,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,Québec,98,Cancelled,0,98,EC-06,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,99,Cancelled,0,99,PM-03,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,100,Confirmed,0,100,AS-02,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,101,Cancelled,0,101,EX-01,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,102,Confirmed,0,102,AS-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,103,Confirmed,0,103,AS-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,104,Confirmed,0,104,AS-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,2,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,105,Cancelled,0,105,EC-02,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,2,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,106,Cancelled - Class Cancelled,0,106,EC-06,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,15,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,107,Confirmed,0,107,AS-02,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,15,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,108,Confirmed,0,108,EC-02,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,16,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,109,Cancelled,0,109,AS-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,16,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,110,Cancelled - Class Cancelled,0,110,AS-02,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,2,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,111,Cancelled - Class Cancelled,0,111,AS-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,5,Delivered - Normal,April,avril,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Pacific,112,Confirmed,0,112,AS-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,17,Cancelled - Normal,June,juin,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Prairie,113,Cancelled - Class Cancelled,0,113,EX-01,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,16,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,114,Cancelled - Class Cancelled,0,114,EC-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,115,Confirmed,0,115,AS-04,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,116,Confirmed,0,116,PM-03,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,11,Delivered - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,117,Cancelled,0,117,EC-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,5,Delivered - Normal,April,avril,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Pacific,118,Cancelled,0,118,EC-02,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,119,Confirmed,0,119,AS-02,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,15,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,120,Confirmed,0,120,AS-04,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,15,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,121,Cancelled,0,121,EC-06,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,20,Open - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,122,Cancelled,0,122,EC-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,123,Confirmed,0,123,EX-01,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,124,Cancelled,1,124,EX-01,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,125,Confirmed,0,125,EC-06,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,15,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,126,Cancelled,0,126,AS-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,15,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,127,Cancelled,0,127,AS-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,128,Confirmed,0,128,EC-06,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,129,Cancelled,0,129,PM-03,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,130,Cancelled,0,130,AS-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,131,Confirmed,0,131,EX-01,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,3,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,Québec,132,Cancelled,0,132,EC-04,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,133,Confirmed,0,133,EC-04,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,134,Cancelled,0,134,EC-02,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,18,Cancelled - Normal,May,mai,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,NCR,135,Cancelled,0,135,PM-03,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,24,Delivered - Normal,June,juin,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,NCR,136,Cancelled,0,136,EC-06,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,137,Cancelled,0,137,AS-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,138,Cancelled,0,138,EX-01,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,139,Cancelled,0,139,EC-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,140,Cancelled,0,140,EC-06,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,25,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,141,Confirmed,0,99,PM-03,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,25,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,142,Cancelled,1,137,AS-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,2,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,143,Cancelled - Class Cancelled,0,141,AS-02,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,12,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,NCR,144,Cancelled,0,142,EC-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,12,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,NCR,145,Cancelled,0,143,AS-04,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,146,Confirmed,0,144,EX-01,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,15,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Pacific,147,Confirmed,0,145,EX-01,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,2,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,148,Cancelled - Class Cancelled,0,146,PM-03,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,12,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,NCR,149,Confirmed,0,147,AS-04,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,150,Confirmed,0,148,EC-02,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
